Participant Number,Group,Route
1,VR,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,5
2,VR,1,2,3,4,5,6,7,10,7,10,9,8,7,9,8,12,11,13,16,17,15,13,18,16
3,VR,4,3,1,2,6,5,10,9,8,7,12,11,13,14,15,16,18
4,VR,4,3,1,2,3,4,1,6,5,12,11,10,7,8,18,14,15,16,17,13
5,VR,1,4,5,6,2,3,12,7,10,11,12,7,8,7,8,18,17,16,13,14,12,10
6,VR,1,6,5,4,3,2,12,11,10,7,8,9,18,13,16,17,18,14,15,13,12,11,7,10,8,6,5,4,1,3,1,3
7,VR,3,2,1,5,6,7,8,9,12,11,18,14,15,13,16,17,7,10,9,8,7,18,14,15
8,VR,1,2,3,4,5,3,7,8,9,10,11,12,13,16,17,18,14,12,11,10,8,6,1,2,3
9,VR,1,2,3,4,5,6,7,10,11,12,13,14,16,17,18,13,7,8,7,13,1,2,3,4,5,1
10,VR,4,3,1,6,5,12,11,10,7,8,18,17,16,13,14,15
11,VR,4,3,2,5,4,1,3,2,1,11,10,7,8,9,10,11,12,17,18,14,15,18,16
12,VR,1,4,2,3,6,7,10,9,8,7,12,11,8,9,7,18,17,18,13,14,13,14,15
13,VR,1,3,4,7,8,9,10,11,10,13,14,15,16,17,18,7,8,10,18,8
14,VR,1,6,4,3,5,7,10,11,12,8,9,11,18,15,14,13,18,17
15,VR,3,1,4,5,7,10,9,8,12,11,10,8,18,14,15,16,13
16,VR,4,3,1,2,5,6,2,12,11,10,7,8,18,14,13,16,13,15,18,7,8,10
17,VR,1,2,3,4,5,6,7,8,9,10,11,12,18,17,16,15,14,10,9,8,7,18,14,15,17,5,4
18,VR,1,2,3,4,5,6,7,10,9,8,7,9,10,11,12,13,14,15,16,17,18,6,5,4
19,VR,1,2,3,4,5,6,7,8,9,10,11,12,13,16,17,15,18,14,13,12,8,9,10,18,1
20,VR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2
21,R,1,3,4,5,6,2,3,7,8,9,10,11,12,8,18,17,16,13,14,15,17,16,13,14,15,16,17,13
22,R,1,2,3,5,4,12,8,9,11,10,18,17,16,13,14,15
23,R,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,13,16,12,11,10,7
24,R,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
25,R,1,3,4,6,2,12,11,10,7,8,9,16,15,14,13,18,14,12,11,10,8,6,1,2
26,R,2,3,4,5,1,7,8,9,10,11,12,13,14,15,16,17,18,1
27,R,1,3,4,6,2,5,9,8,9,10,11,12,13,14,15,17,16,18,13,14,17,16,18,10,8,9,11,1,3
28,R,1,3,4,7,10,9,8,13,14,15,16,18,12,11,6,2,5
29,R,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18
30,R,1,5,6,2,3,1,12,11,10,7,8,9,10,13,16,15,13,16,18,7,8,9,10,11,12,7,9,11,12
31,R,3,5,6,2,1,4,7,8,9,10,11,12,18,13,16,14,15,13,14,12,7,8,10,11
32,R,1,4,3,1,2,6,3,7,10,9,8,12,13,16,17,18,13,14,13,12,6,3,4,1,3,1
33,R,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,3
34,R,1,2,3,5,4,12,8,9,11,10,18,17,16,13,14,15
35,R,1,2,3,4,5,6,7,8,9,10,11,12,13,16,15,14,13,18,17,16,15,14,7,6,5,4,2
36,R,1,2,3,5,4,6,9,8,10,11,12,13,14,15,16,15,17,18,6,5,7
37,R,1,2,3,4,5,6,7,8,9,10,11,12,13,16,14,15,17,18,17,16
